,Bez.,Sinnfindung,Burnout,Depression,Selbstbwusstsein,Beziehungsberatung,Selbstdisziplin,Motivation,Stressmanagement,Zeitaufwand,Trigger-Rating,Intensitt,Zweck,Kategorie,Tageszeit,Push-Meldung zur bung,bungsart/Durchfhrungsweise,Rational,Durchfhrbarkeit,Wirksamkeit,Verstndlichkeit,Hilfestellung,Qualitt-Ergebnis,Quelleinverifizierung 1,Besonderheiten,Filter-Ausschluss,Titel-Button,Titel,Quelle Ursprung,Beschreibung,Rational,Quelle Rational,Anweisungen,Material,HIlfestellung,Tabellen etc.,Anwendung,"Interkatives Element (Tabellen, Bilder, Audio, Video, Swipe-Bewegung um zB etwas zu lschen aus einer Tabelle, sonstiges Element was gut wre um die bung lebhaft + abwechslungsreich + animiert zu machen,..)",Farblegende
102,1.119,ja,nein,nein,nein,nein,nein,ja,ja,10,Schwach,Anfang,"Glaubensstze erkennen, Denkmuster erkennen, Positives Denken, Stressreduktion","Glaubensstze, negative in positive Gedanken formulieren, Reflexion, Struktur, Resilienz",alle,nein,praktisch,1,1,1,1,1,1,stammt von uns,,,Ich DARF,Ich DARF,"Mentalport, 2022","Diese bung untersttzt Dich dabei, durch bewusste Wortwahl Deinen inneren Stress und Druck zu reduzieren, um bevorstehenden Aufgaben und Herausforderungen mit Dankbarkeit und Wertschtzung zu begegnen.",,"Fabender, Klein, Sion, Schweiger (2015). Therapie-Tools Depression. Beltz Verlag, Weinheim Basel. Kapitel 6, S. 136ff.","Auf einer Skala von 0 = wenig bis 10 = stark, wie gestresst fhlst Du Dich gerade? Am heutigen Tag nimmst Du Deine Gedanken bewusst wahr. \n Immer, wenn ein Ich muss in Deinen Gedanken auftaucht, ersetzt Du es ganz bewusst durch Ich darf.\n 
Reflektiere am Abend, wie es sich fr Dich angefhlt hat, Dinge tun zu drfen, anstatt zu mssen. Wie hat sich das auf Deinen inneren Druck ausgewirkt?
",Optional: Zettel und Stift,"Schreibe Dir einen kleinen Zettel oder mache Dir eine Notiz in Dein Handy mit den Worten Ich darf. Immer wenn Du diesen siehst, wirst Du automatisch an Dein heutiges Mindset erinnert.",N/A,,-,
103,1.120,nein,ja,nein,nein,nein,nein,ja,ja,20,Schwach,Anfang,"Prioritten setzen, Struktur, Entspannung & Abschalten im Alltag","Struktur, Entspannung, Abschalten, Prioritten festlegen, Reflexion",alle,nein,praktisch,1,1,1,1,1,1,stammt von uns ,"Tabelle mit Uhrzeiten (stndlich) zum Ausfllen einfgen (siehe Word Dokument ""Ergnzungen zu bungen"")",,Dein Stundenplan,Dein Stundenplan,"Mentalport, 2022","Diese bung untersttzt Dich dabei, einen berblick ber Deinen Alltag zu bekommen, um ausreichend Zeit fr Dich selbst, Deine Hobbys und auch regelmige Pausen einzuplanen.","Dein Stundenplan gibt Dir eine visuelle bersicht ber alles, was in dieser Woche ansteht und zeigt Dir, ob Du gengend kleine Pausen zur Erholung und Entspannung in Deinen Alltag integrierst beziehungsweise an welcher Stelle Du zuknftig bewusster darauf achten solltest, Pause zu machen. Auerdem soll Dir Dein Stundenplan dabei helfen zu erkennen, ob Du tglich gengend Zeit nur fr Dich selbst einplanst und an welchen Tagen Du bewusst darauf achten und diesen gegebenenfalls umplanen solltest. ","Mentalport, 2022","Notiere Deine kommenden 7 Tage im Stundenplan. Trage alle Termine, Vorhaben und Pflichten bei der entsprechenden Uhrzeit ein, um Dir einen berblick ber Deine Woche zu verschaffen. Schaue Dir nun die grn unterlegten, unverplanten Felder an.\n 
Schaffst Du es tglich freie Zeit fr Dich einzuplanen?
Wie knntest Du grere Lcken/Pause fr Dich nutzen?
Hast Du tatschlich so viele Termine oder kam es Dir im Kopf nur so viel vor?
",Optional: Papier und Stift,"Schaue in Deinen Terminkalender oder in Deinen Arbeitsplan. Notiere Deine Arbeitszeiten, Verabredungen, vereinbarte Termine und fixe Freizeittermine in Deinen Stundenplan mit verschiedenen Farben. Plane auch bewusste Zeiten fr alltgliche Dinge wie Haushalt, Einkauf etc. ein. Nun schaust Du, wo in Deinem Plan noch freie Zeit ist und reservierst Dir diese fr Dich und markiere sie grn. Entscheide spontan, wie Du diese freie Zeit dann bewusst fr Dich nutzen mchtest. ",Tabelle bzw. Stundenplan,,Stundenplan,
104,1.121,nein,nein,nein,ja,nein,ja,ja,ja,5,Schwach,Anfang,"Struktur im Alltag, Selbstmotivation fr Aufgaben, Selbstdisziplin","Struktur, Motivation, Alltagsbewltigung, Antrieb finden, Selbstbewusstsein",alle,"ja, zu ausgewhlter Uhrzeit des Nutzers",praktisch,1,1,1,1,1,1,stammt von uns,neutrale Tabelle zum Ausfllen mit Drag und Drop Funktion integrieren + Timer und bungstermin zu planen,,Prioritten setzen,Prioritten setzen,"Mentalport, 2022","Diese bung hilft Dir dabei, herausfordernde, unangenehme Aufgaben zu meistern, indem Du diese priorisierst und terminierst. Das Schwierigste bewusst erledigen, so kommst Du entspannt und produktiv durch Deinen Alltag und schneller an Dein Ziel.","Diese bung hilft Dir dabei, das Aufschieben von unliebsamen und unangenehmen Aufgaben zu vermeiden. Durch die bewusste Priorisierung und Erledigung von herausfordernden Aufgaben gleich am Morgen startest Du motiviert in den Tag und entspannt durch den Alltag. Auerdem erreichst Du schneller Deine Ziele. ","Mentalport, 2022","Notiere alle Aufgaben, die Du am heutigen Tag erledigen mchtest in der Tabelle.\n Nun berlege Dir, welche dieser Aufgaben Dich am meisten herausfordert oder Dich berwindung kostet. Diese Aufgabe verschiebst Du bewusst ganz nach oben auf Deiner Priorittenliste und versiehst diese mit Hilfe des Timers mit einem festen Termin.\n 
Wie fhlst Du Dich nun, nachdem Du Deine herausfordernde Aufgabe gemeistert hast?
",Optional: Stift und Papier,"berlege Dir, welche Aufgabe Du schon lngere Zeit vor Dir herschriebst oder was Du schon lngst erledigt haben wolltest. Sei ehrlich zu Dir selbst und gehe diese Hrde bewusst an. ",Tabelle mit Drag und Drop Funktion + Timer,,Tabelle mit Drag und Drop Funktion + Timer,
105,1.122,ja,nein,nein,ja,nein,nein,ja,nein,15,Schwach ,Anfang,"Visualisierung von Zielen, Ziele erkennen, Motivation","Ziele, Visualisierung, Ausrichtung, Selbsterkenntnis",alle,nein,praktisch,1,1,1,1,1,1,stammt von uns,,,Vision Board,Vision Board,"Mentalport, 2022","Diese bung hilft Dir dabei, Deine Wnsche, Ziele und Trume in einem von Dir definierten Zeitraum zu realisieren, indem Du diese visualisierst und Dir regelmig vor Augen fhrst. Deine Collage zeigt Dir am Ende des Zeitraums nicht nur Deine Wnsche und Ziele, sondern auch Deine Erfolge. ","Indem Du Dich mit Deinen Wnschen, Zielen und Trumen auseinandersetzt, machst Du Dir diese bewusst und fhrst Dir diese klar vor Augen. Deine Collage hilft Dir dabei, Dich immer wieder, an Deine Wnsche, Ziele und Trume zu erinnern und Dein Handeln unterbewusst darauf auszurichten. Es motiviert Dich und zeigt Dir immer wieder warum es sich lohnt dranzubleiben. Am Ende des Zeitraums erinnert Dich die Collage nicht nur an Deine Ziele, sondern auch an Deine Erfolge. ","Murphy, J. (2016). Die Macht Ihres Unterbewusstseins: Das Original. 10. Auflage. Ariston. S. 136ff. ","Lege einen groen Tonkarton, alte Zeitungen, Zeitschriften sowie Kleber und Schere bereit.\n berlege Dir nun fr welchen Zeitraum z. B. 1 Jahr Du die Collage gestalten mchtest. Schneide alle Bilder, Texte oder Grafiken aus, die Deine persnlichen oder beruflichen Ziele visuell oder Deine Trume und Wnsche, fr die kommende Zeit darstellen.\n Anschlieend klebst Du die Ausschnitte sortiert nach Kategorien (z. B. Karriere, Persnliches, Freizeit, Gesundheit) auf den Tonkarton.\n Alternativ kannst Du Deine Ziele- und Traumcollage auch direkt am PC mit Bildern und Texten aus dem Internet gestalten und anschlieend ausdrucken.\n Dein fertiges Collage kannst Du nun gut sichtbar in Deinem Zimmer aufhngen, sodass Du es tglich bewusst wahrnimmst. ","Groer Tonkarton, Kleber, Schere, Buntstifte, alte Zeitungen und Magazine","Es gibt keine zu groen oder unrealistischen Wnsche, Ziele und Trume. Die folgenden Bereiche knnen Dir helfen Deine Ziele besser zu erkennen: 
- Freunde/Familie
- Liebe/Beziehung
- Materielles
- Urlaube
- Karriere
- Finanzielles
- Persnliches
- Gesundheit
Falls Dir gerade gar keine Ideen fr die Gestaltung in den Kopf kommen, so verschiebe das Erstellen auf einen anderen Zeitpunkt. 
",N/A,,-,
106,1.123,ja,nein,ja,ja,nein,nein,ja,nein,5 * 7,Schwach,Anfang,"Zufriedenheit & Wohlbefinden strken, Positivitt & Lebensfreude hervorheben","Positiv denken, Denkmuster, Perspektive, Fokus auf das Positive richten",alle,"ja, abendliche Erinnerung an das Schreiben der Dankbarkeitsliste",praktisch,1,1,1,1,1,1,stammt von uns,,,Dankbarkeitsliste,Dankbarkeitsliste,"Mentalport, 2022","Diese bung hilft Dir dabei, den Fokus am Ende eines Tages darauf zu legen, wofr Du dankbar bist, um den Tag positiv abzuschlieen. Du darfst selbst etwas zu Deinem Glck und Deiner Zufriedenheit beitragen.","Diese bung soll Dir dabei helfen, Dir darber bewusst zu werden, wie viele gute Dinge es in Deinem Leben gibt. Indem Du Dir die Liste immer mal wieder anschaust oder ergnzt, richtest Du  Deine Gedanken auf das Gute und Positive und begegnest Deinem Leben mit mehr Dankbarkeit und Zufriedenheit. ","Lyubomirsky, S. (2018). Glcklich sein: Warum Sie es in der Hand haben, zufrieden zu leben.
Blickhan, D. (2018). Positive Psychologie. Ein Handbuch fr die Praxis.
","Notiere 7 Tage lang jeden Abend, fr was Du heute dankbar, bist indem Du einen der folgenden Satzanfnge auswhlst und 5 Minuten lang alles aufschreibst, was Dir dazu einfllt.\n 
Ich kann mich glcklich schtzen, dass
Es ist schon etwas Besonderes, dass
Es knnen nicht alle von sich behaupten, dass 
Ich habe viele Grnde, traurig, wtend, besorgt zu sein, aber\n
Am Ende der Woche beende nun folgenden Satz fr Dich:
Wenn ich Mir Meine Dankbarkeitsliste durchlese, dann
",Optional: Stift und Papier,"Schreibe wirklich alles auf was Dir einfllt. Du kannst die Liste auch zu einem spteren Zeitpunkt ergnzen, wenn Dir noch sofort etwas einfllt oder Du zum spteren Zeitpunkt eine Idee hast. ",N/A,,-,
107,1.124,nein,nein,nein,nein,nein,nein,nein,ja,5 * 24,Schwach,Anfang,"Auseinandersetzung mit Gedanken, Bewusstmachen von Gedanken, Sortieren und kategorisieren von Gedanken","Stressreduktion, Beruhigung, Struktur",alle,nein,praktisch,1,1,1,1,1,1,stammt von uns,neutraleTabelle zum Ausfllen mit Drag und Drop Funktion integrieren + Weg-wisch-Funktion + Mglichkeit zum Abhaken,,Denktagebuch,Denktagebuch,"Mentalport, 2022","Diese bung hilft Dir durch das Festhalten all Deiner Gedanken, die Dir am Tag in den Kopf kommen, diese nach Wichtigkeit zu sortieren und gleichzeitig zu kategorisieren. So kannst Du Gedankengnge in einer ruhigen Minute zu Ende denken.","Diese bung hilft Dir dabei, Deine Gedanken zu sortieren und zu kategorisieren indem Du sie aufschreibst. Gedanken, die Du schriftlich festhltst, musst Du nicht lnger im Kopf behalten. Sie lsen kein Grbeln mehr aus. Nicht zu Ende gedachte Gedanken knnen Stress und ngste auslsen. Indem Du all Deine Gedanken festhltst, hast Du in einer ruhigen Minute die Mglichkeit, diese zu Ende zu denken und fr Dich zu nach Wichtigkeit und Prioritten zu ordnen. ","Scheuermann, U. (2016). Schreibdenken: Schreiben als Denk- und Lernwerkzeug nutzen und vermitteln. 3. Auflage ","Halte den ganzen Tag lang alle mglichen Gedanken und Gedankenfetzen, die Dir in den Kopf kommen, fest.\n Am Abend ffnest Du die Liste und sortierst Deine Gedanken nach Wichtigkeit durch drag and drop: 
Worber muss ich mir aktuell keine weiteren Gedanken machen? Wische diese nach rechts weg. 
Nun hast Du eine bersicht ber die Gedanken, die fr den jetzigen Zeitpunkt fr Dich von Bedeutung sind?\n 
Konzentriere Dich nun auf die fr Dich gerade wichtigsten Gedanken und denke diese zu Ende. Wenn Du magst, notiere deine Gedankengnge bis zum Ende und markiere diese anschlieend mit einem grnen Haken.\n
Nun hast Du Deine Gedanken fr Dich geordnet und alle Gedankengnge abgeschlossen. Wie fhlst Du Dich jetzt?  
",Optional: Stift und Papier,"Schreibe wirklich alle Gedanken und Gedankenfetzen nieder, sobald sie Dir in den Kopf kommen. Auch Trume, Ideen, Wnsche oder Erledigungen, die Dir gerade in den Sinn kommen, sind Gedanken, die Du aufschreiben kannst. Wenn Du unterwegs bist kannst, Du auch vorerst die Notiz-App Deines Smartphones benutzen oder Deine Gedanken erstmal in Sprachnotizen festhalten. ",N/A,,Hier ist die Rede von einer Drag-and-drop Liste,
108,1.125,nein,ja,ja,ja,nein,nein,nein,ja,10,Schwach,Anfang,"Entspannung, auf innere Stimme hren, Stressreduktion, Fokussierung, Krperwahrnehmung, Erkennen von Warnsignalen","Entspannung, Abschalten, Rituale, Selbstwahrnehmung, Stressreduktion",alle,nein,meditativ,1,1,1,1,1,1,stammt von uns,"Audiodatei mit Meeresrauschen + Stimme (siehe Word Dokument ""Ergnzungen zu bungen"")",,Kleine Alltagspause,Kleine Alltagspause,"Mentalport, 2022","Diese bung untersttzt Dich dabei, eine kleine bewusste Pause im Alltag einzulegen, um wieder ganz bei Dir zu sein. Sie hilft Dir dabei, Deinen Krper bewusst wahrzunehmen, um gegebenenfalls frhzeitige Warnsignale zu erkennen. ","Diese bung hilft dabei im stressigen Alltag eine bewusste Pause einzulegen um wieder im Einklang mit dem Krper und dem Geist zu sein. Es ist wichtig, sich und seinen Krper bewusst wahrzunehmen, um gegebenenfalls Warnsignale wahrnehmen zu knnen, ausgelst beispielsweise durch Stress, berarbeitung etc. ","Mentalport, 2022",In den kommenden 10 Minuten tust Du ganz bewusst nichts. Setze Dich auf einen Stuhl oder lege Dich ins Bett. Lege alles Strende bei Seite und konzentriere Dich ganz auf Dich selbst. Starte die Audio und lausche dem Meeresrauschen.\n ,,"Lege bewusst alles um Dich herum was Dich ablenken knnte zur Seite, schalte die Musik aus. Benutze eventuell Kopfhrer um Gerusche von Auen abzuschirmen. Geniee den Moment des Nichtstuns, hre in Dich hinein, lausche dem Meeresrauschen. Vielleicht schliet Du Deine Augen. Erlaube Dir, Dich mit Dir selbst zu beschftigen. Bleibe im Hier und Jetzt und schaue in Deinen Krper hinein. Halte bewusst inne. Atme tief durch. ",Audio-Datei Meeresrauschen,,Audio-Datei Meeresrauschen,
109,2.1,nein,nein,nein,nein,nein,ja,ja,nein,28 d / 10 min,Schwach,Fortgeschritten,Erkenne Dich selbst und lerne Dich selbst auf einer tiefen Ebene lieben mit allem was dazu gehrt.,"Selbstakzeptanz, Bewusst im Moment sein, Selbstliebe, Selbstbewusstsein, Selbsterkenntnis",alle,"ja, whrend der bung",praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Spiegelbung 1,Spiegelbung 1,https://www.diekraftderseele.de/spiegeluebung/,"Diese Methode beinhaltet etwas sicher ungewhnliches. Tatschlich bietet diese Methode die Mglichkeit, Dich selbst auf einer ganz neuen Ebene kennen zu lernen. Indem Du fr 4 Wochen das ca. 10-mintige nackte Sitzen vor einem Spiegel in Deine Routine einbaust, hast Du die Chance auf gnzlich neue Erfahrungen zu Dir selbst. \n",,,"Baue es fr die folgenden vier Wochen in Deinen Alltag ein, tglich ca. 10 Minuten Dich vor einen Spiegel zu setzen. Gehe dabei wie folgt vor:
Schaue ohne Ablenkung nur in den Spiegel hinein und sei ganz bewusst in diesem Moment \n

Versuche, Deine Gedanken, Glaubensmuster und berzeugungen, die Deine bedingungslose Liebe zu Dir selbst behindern, bewusst wahrzunehmen und zu transformieren. 
Erkenne Dich selbst und lerne Dich selbst auf einer tiefen Ebene lieben mit allem was dazu gehrt. \n",(Groer) Spiegel,,N/A,,-,
110,2.2,ja,nein,nein,nein,nein,nein,ja,nein,45-60 ,Schwach,Anfang,Lieblingsttigkeiten von der Vergangenheit und Gegenwart finden und sie zur Berufung machen,"verborgene Begabungen und Talente entdecken, Strken, Ziele",alle,nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Begabungen erkennen,Begabungen erkennen,57,"Diese Methode mchte Dir dazu verhelfen, zu erkennen, was Du in Deinem Leben wirklich machen willst. Sie bezieht sich auf Dinge aus Deiner Vergangenheit, die Du gerne gemacht hast, die Dir Freude bereiten und mchte somit auf Deine Begabungen schlieen. Damit kannst Du Deiner wahren Berufung einen groen Schritt nher kommen.\n","Diese Methode geht auf Barbara Sher zurck. Sie dient dazu, verborgene Begabungen und Talente zu entdecken. Wichtig ist hierbei, dass wir etwas gerne und mit Freude machen. Nach Sher ist dies fr die Erkenntnis unserer Berufung wichtiger, als in etwas gut zu sein oder gute Noten zu haben. Wenn wir etwas gut knnen, handelt es sich meist um eine erlernte Fhigkeit. Diese Methode nach Barbara Sher mchte Dir mithilfe von Freude an Ttigkeiten aus Deiner Vergangenheit helfen, Deine intrinsische Begabungen und Talente zu finden. ","Sher, B. (2007). Lebe das Leben, von dem du trumst. dtv premium, Mnchen. S. 107 ff.","Gehe fr diese Methode folgendermaen vor: 
Schritt 1: Trage Deine Lieblingsttigkeiten aus Kindheit, Jugend und Erwachsenenalter in die folgende Tabelle ein. Nimm jeweils auch eine Priorisierung der jeweiligen Ttigkeit vor. Beantworte folgende Fragen fr diesen Schritt:
Was hast Du gerne gemacht? 
Warum hast Du es gerne gemacht?  \n
bertrage die einzelnen Lieblingsttigkeiten nun die neue Tabelle. Trage in der linken Spalte der Mitte (Freude) ein, was Dir an dieser Lieblingsbeschftigung Freude bereitete und warum Du diese Beschftigung so gern hattest. \n
Schritt 2: Trage nun in die rechte Spalte der Mitte (Themen und Wertebefriedigung) die jeweiligen Themen der Lieblingsbeschftigung ein. Beantworte die folgende Frage und notiere die Antwort in der gleichen Spalte: Inwieweit werden Deine Lebensmotive bzw. Werte durch diese Lieblingsbeschftigung befriedigt? \n
Schritt 3: Mache Dir klar, dass smtliche Vorlieben einen Grund haben und Rckschlsse auf Deine Berufung zulassen. Um Deine Berufung zu erkennen, kannst Du auf alle Zeichen der Natur achten. 
berlege Dir, welche Ttigkeiten sich aus Deinen Lieblingsbeschftigungen entwickeln knnten. Lasse Deiner Fantasie freien Lauf und schreibe alle Gedanken nieder. \n
Beschreibe, wohin Dich jede Lieblingsttigkeit gebracht htte, wenn Du einen Beruf daraus gewhlt httest und erfolgreich gewesen wrst.
Flle nun die rechte Spalte aus, in der Du Dir eine Ttigkeit berlegst, die Du aus dieser Lieblingsbeschftigung entwickeln kannst.  \n
Schritt 4: Nun geht es darum, die einzelnen Ttigkeiten, die sich aus Deinen Lieblingsbeschftigungen ergeben knnen, auszutrumen. Stelle Dir vor, was Du mit dieser Ttigkeit innerhalb von 5 Jahren erreichen knntest. 
Flle dazu die folgende Tabelle aus und schreibe Deine Gedanken in die rechte Spalte der Mitte nieder. \n
Schritt 5: Abschlieend berlegst Du, wie Du nun die Zeit verbringen willst, wenn alles bestmglich verlaufen wre. Lasse wiederum Deiner Fantasie freien Lauf und schreibe auf, was sich in Zukunft entwickeln knnte, wenn Du diese Ttigkeit umsetzt und alles bestmglich verluft. \n
Zum Schluss kannst Du Dir Dein Werk betrachten. Darin ist enthalten, was Du wirklich willst und was Deiner wahren Berufung entspricht. Beachte auch, dass es Dir sicherlich Angst bereiten kann, darber nachzudenken. Lasse dies ruhig zu, aber nimm diese ngste nicht zu ernst. \n
Trage nun Deine 3-5 grten Begabungen, die Du nun entwickelt hast, in einer Tabelle zusammen. \n",Optional - Stift & Papier,"Versuche Dich an Momente bzw. Zeitpunkte Deiner Vergangenheit zu erinnern, die fr Dich positiv in Erinnerung sind und in denen Du sehr viel Spa bzw. Freude hattest. Betrachte diese Erinnerungen genauer.",5 Tabellen,,"Tabelle 1 zum ausfllen vier Spalten Zeile 1 vorausgefllt ebenso Zeile 2 mit Beispiel - Schritt 1;
Tabelle 2 zum ausfllen mit vier Spalten Zeile 1 vorausgefllt - Schritt 2;
Tabelle 3 zum ausfllen mit drei Spalten Zeile 1 vorausgefllt - Schritt 4;
Tabelle 4 zum ausfllen mit zwei Spalten Zeile 1 vorausgefllt - Schritt 5;
Tabelle 5 zum ausfllen mit zwei Spalten Zeile 1 vorausgefllt - Schritt 5;",
111,2.4,ja,nein,nein,nein,nein,nein,ja,nein,8 d / 15-20 min,Mittel,Fortgeschritten,"Liste fr verschiedene Potentialfelder anlegen, Bewusstsein ber eigene Potentiale, langfristig mit diesem Wissen Zufriedenheit und Wohlbefinden erreichen","Potentiale, Ressourcen",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,"fr 8 Tage ein Potentialfeld, immer wieder Potentialfelder bringen, kann also verteilt werden
Nutzung bung 1.4 & 1.17
auch in Stufe 2 anwendbar
",,Potentialfelder 1,Potentialfelder entdecken - 1,62,"Diese Methode widmet sich Deiner Potentialfelder. Dies sind Bereiche bzw. Felder in Deinem Leben, die das Potential dazu haben, zu Deinem persnlichen Glck, zu Zufriedenheit und Wohlbefinden beizutragen. Neben Eigenschaften, Strken oder Fhigkeiten, die Dir bereits bewusst sind, geht es bei dieser Methode insbesondere darum, Deine zustzlichen Potenziale und  Besonderheiten zu erkennen. Durch die Gliederung der Potentialfelder in verschiedene Bereiche kann es Dir mglich werden, Besonderheiten in Deinem Leben oder Deiner Persnlichkeit zu entdecken. Ebenso wird es mglich, ein Muster in Deinem Leben zu entdecken.","Wir als Individuum sind voller Potentiale. Dazu zhlen Motive, Werte, Strken, Fhigkeiten und weitere Besonderheiten. Es ist sehr hilfreich, ein Bewusstsein zu haben, was unsere einzelnen Potentiale sind, insbesondere wenn wir unsere Berufung oder den Sinn in unserem Leben finden wollen. Aus diesem Grund teilt diese Methode in verschiedene Potentialfelder ein. Diese wollen wir nach und nach untersuchen, sodass wir mithilfe unserer Potentialfelder in ein Leben Richtung Zufriedenheit und Wohlbefinden durchstarten knnen.","62, mentalport 2021","Wichtig zu wissen ist, dass es sein kann, dass Du in allen Potentialfelder etwas von Dir entdeckst. Es muss aber nicht sein, dass Du in jedem Potentialfeld etwas finden kannst. Lasse Dich hiervon nicht verunsichern. Untersuche nun tglich ein Potentialfeld: \n
Schritt 1: Deine Themen und Interessen
In diesem Potentialfeld geht es um die Dinge, in denen Du gut bist. Es geht insbesondere um die Themen, in denen Du fast unschlagbar bist. Denke an diejenigen Themen, die Dich begeistern. Es geht nicht um Dinge, die Du beruflich tun musst und in denen Du gut bist. Es geht um Deine Herzensangelegenheiten. \n
Was sind Deine Themen (beruflich oder auch privat)?
Womit kennst Du Dich besonders aus? 
Denke an Gesprche mit anderen zurck: worber redest Du gerne, am liebsten auch stundenlang und bei welchem Thema vergisst Du die Zeit? 
Was sind also Deine Lieblingsthemen? 
Woran bist Du vor allem Interessiert? \n
Was sind Themen, bei denen Du direkt hellhrig wirst? 
Worber informierst Du Dich? 
Welcher Bereich Deiner Ausbildung hat Dir gut gefallen? \n
Analysiere nun folgende Aspekte: 
Warum interessieren Dich diese Themen so besonders?
Was findest Du daran so spannend?
Passen diese Erkenntnisse zu dem, wie Du von Dir selbst denkst? \n",Optional - Stift & Papier,"Versuche bei Unklarheiten zu erspren, ob sich das jeweilige Potential fr Dich richtig und wichtig anfhlt. Wie ist das Gefhl unterhalb Deiner Bauchgegend?",-,8 mal je ein Potentialfeld,-,
112,2.4.1,ja,nein,nein,nein,nein,nein,ja,nein,9 d / 15-20 min,Mittel,Fortgeschritten,"Liste fr verschiedene Potentialfelder anlegen, Bewusstsein ber eigene Potentiale, langfristig mit diesem Wissen Zufriedenheit und Wohlbefinden erreichen","Potentiale, Ressourcen",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Potentialfelder 2,Potentialfelder entdecken - 2,62,"Diese Methode widmet sich Deiner Potentialfelder. Dies sind Bereiche bzw. Felder in Deinem Leben, die das Potential dazu haben, zu Deinem persnlichen Glck, zu Zufriedenheit und Wohlbefinden beizutragen. Neben Eigenschaften, Strken oder Fhigkeiten, die Dir bereits bewusst sind, geht es bei dieser Methode insbesondere darum, Deine zustzlichen Potenziale und  Besonderheiten zu erkennen. Durch die Gliederung der Potentialfelder in verschiedene Bereiche kann es Dir mglich werden, Besonderheiten in Deinem Leben oder Deiner Persnlichkeit zu entdecken. Ebenso wird es mglich, ein Muster in Deinem Leben zu entdecken.","Wir als Individuum sind voller Potentiale. Dazu zhlen Motive, Werte, Strken, Fhigkeiten und weitere Besonderheiten. Es ist sehr hilfreich, ein Bewusstsein zu haben, was unsere einzelnen Potentiale sind, insbesondere wenn wir unsere Berufung oder den Sinn in unserem Leben finden wollen. Aus diesem Grund teilt diese Methode in verschiedene Potentialfelder ein. Diese wollen wir nach und nach untersuchen, sodass wir mithilfe unserer Potentialfelder in ein Leben Richtung Zufriedenheit und Wohlbefinden durchstarten knnen.","62, mentalport 2021","Schritt 2: 2. Potentialfeld: Deine Prozesskompetenz 
Dieses Potential dreht sich um die Beherrschung eines schwierigen oder komplexen Prozesses. Gemeint ist hier nicht etwa ein Herztransplantation sondern etwas, wofr ein Normalbrger einige Zeit brauchen wrde, um es zu erlernen.\n
Um dieses Potentialfeld zu untersuchen, gehe folgendermaen vor: 
berlege, ob es einen Prozess bzw. eine Abfolge an Teilschritten gibt, den bzw. die Du gut kannst. Gibt es also einen Ablauf, den Du gut beherrschst? Wenn es einen Prozess gibt, der hinter dieser Abfolge steht, welcher ist das? \n
Rekapituliere nun einmal Deinen Alltag. Denke also an das, was du tglich tust. Welche Ttigkeiten sind hierbei fr Dich selbstverstndlich, sodass sie Dir nicht mehr auffallen? 
Es ist wichtig die Prozesse zu analysieren, wenn Du bei Themen noch nicht fndig geworden bist.\n
Schritt 3: 3. Potentialfeld: Aktivitten, Aufgaben, Ttigkeiten
Beantworte fr dieses Potentialfeld nun die folgenden Fragen:\n
Gibt es eine Ttigkeit oder Aufgabe, die Sie besonders gut beherrschen? 
berlege, was Du sehr gerne tust. Dadurch kannst auf Dinge, Aufgaben und Ttigkeiten schlieen, die aktuell so selbstverstndlich fr Dich sind, dass sie Dir nicht mehr auffallen. Diese knnen aber eine Deiner Besonderheiten sein. \n
berlege, zu welchen Themen Dich Dein Umfeld immer mal wieder befragt oder wobei Du um Hilfe gebeten wirst. 
Steht hierbei mglicherweise eine bestimmte Ttigkeit oder Fhigkeit dahinter?\n",Optional - Stift & Papier,"Versuche bei Unklarheiten zu erspren, ob sich das jeweilige Potential fr Dich richtig und wichtig anfhlt. Wie ist das Gefhl unterhalb Deiner Bauchgegend?",-,,-,
